_id,BranchCode,PhysicalBranch,BranchName,Address,lat,lon
1,AB,1,Albion,"1515 Albion Road, Toronto, ON, M9V 1B2",-79.5845,43.73999
2,ACD,1,Albert Campbell,"496 Birchmount Road, Toronto, ON, M1K 1N8",-79.2691,43.70814
3,AD,1,Alderwood,"2 Orianna Drive, Toronto, ON, M8W 4Y1",-79.5471,43.60168
4,AG,1,Agincourt,"155 Bonis Avenue, Toronto, ON, M1T 3W6",-79.2935,43.78522
5,AH,1,Armour Heights,"2140 Avenue Road, Toronto, ON, M5M 4M7",-79.4218,43.73922
7,AN,1,Annette Street,"145 Annette Street, Toronto, ON, M6P 1P3",-79.4664,43.6634
8,AP,1,Amesbury Park,"1565 Lawrence Avenue West, Toronto, ON, M6L 1A8",-79.4858,43.70646
9,BB,1,Brookbanks,"210 Brookbanks Drive, Toronto, ON, M3A 2T8",-79.3258,43.75952
10,BC,1,Black Creek,"North York Sheridan Mall, 1700 Wilson Avenue Unit 63-64, Toronto, ON, M3L 1B2",-79.5113,43.72156
11,BD,1,Bendale,"1515 Danforth Road, Toronto, ON, M1J 1H5",-79.244,43.75109
12,BE,1,Beaches,"2161 Queen Street East, Toronto, ON, M4L 1J1",-79.2985,43.67011
13,BF,1,Barbara Frum,"20 Covington Road, Toronto, ON, M6A 3C1",-79.4322,43.72071
16,BL,1,Bloor/Gladstone,"1101 Bloor Street West, Toronto, ON, M6H 1M7",-79.434,43.65992
17,BR,1,Brentwood,"36 Brentwood Road North, Toronto, ON, M8X 2B5",-79.5142,43.64747
18,BRW,1,Bridlewood,"Bridlewood Mall, 230-2900 Warden Avenue, Toronto, ON, M1W 2S8",-79.3188,43.79976
19,BUR,1,Burrows Hall,"1081 Progress Avenue, Toronto, ON, M1B 5Z6",-79.2341,43.79395
20,CC,1,Cliffcrest,"3017 Kingston Road, Toronto, ON, M1M 1P1",-79.2305,43.72566
21,CE,1,Centennial,"578 Finch Avenue West, Toronto, ON, M2R 1N7",-79.4496,43.77301
22,CED,1,Cedarbrae,"545 Markham Road, Toronto, ON, M1H 2A1",-79.2241,43.75754
23,CH,1,City Hall,"Nathan Phillips Square, 100 Queen Street West, Toronto, ON, M5H 2N3",-79.3838,43.65337
24,CL,1,North York Central Library,"5120 Yonge Street, Toronto, ON, M2N 5N9",-79.4145,43.76817
25,CS,1,College/Shaw,"766 College Street, Toronto, ON, M6G 1C4",-79.4202,43.65513
26,DA,1,Danforth/Coxwell,"1675 Danforth Avenue, Toronto, ON, M4C 5P2",-79.3214,43.68368
27,DM,1,Daniel G. Hill (formely Jane/Dundas),"620 Jane Street, Toronto, ON, M6S 4A6",-79.4915,43.66548
28,DO,1,Don Mills,"888 Lawrence Avenue East, Toronto, ON, M3C 1P6",-79.3473,43.73671
29,DP,1,Downsview,"2793 Keele Street, Toronto, ON, M3M 2G3",-79.482,43.72885
30,DR,1,Deer Park,"40 St. Clair Avenue East, Toronto, ON, M4T 1M9",-79.3924,43.68863
32,DT,1,Dawes Road,"416 Dawes Road, Toronto, ON, M4B 2E8",-79.297,43.70169
33,DU,1,Davenport,"1246 Shaw Street, Toronto, ON, M6G 3P1",-79.4284,43.67458
34,EA,1,Dufferin/St. Clair,"1625 Dufferin Street, Toronto, ON, M6H 3L9",-79.4424,43.67701
35,EB,1,Eatonville,"430 Burnhamthorpe Road, Toronto, ON, M9B 2B1",-79.5591,43.64616
36,EG,1,Elmbrook Park,"2 Elmbrook Crescent, Toronto, ON, M9C 5B4",-79.5839,43.66014
37,EN,1,Evelyn Gregory,"120 Trowell Avenue, Toronto, ON, M6M 1L7",-79.4723,43.68631
38,ES,1,Ethennonnhawahstihnen' (formely Bayview),"100 Ethennonnhawahstihnen' Lane, Toronto, ON M2K 3C9",-79.3757,43.76874
39,FH,1,Eglinton Square,"Eglinton Square Shopping Centre, 1 Eglinton Square, Unit 126, Toronto, ON, M1L 2K1",-79.3017,43.72358
40,FO,1,Forest Hill,"700 Eglinton Avenue West, Toronto, ON, M5N 1B9",-79.4207,43.70233
41,FP,1,Fort York,"190 Fort York Boulevard, Toronto, ON M5V 0E7",-79.4004,43.63923
42,FV,1,Flemingdon Park,"29 St. Dennis Drive, Toronto, ON, M3C 3J3",-79.3317,43.718
43,GE,1,Fairview,"35 Fairview Mall Drive, Toronto, ON, M2J 4S4",-79.3467,43.77909
44,GHP,1,Gerrard/Ashdale,"1432 Gerrard Street East, Toronto, ON, M4L 1Z6",-79.322,43.67245
45,GW,1,Goldhawk Park,"295 Alton Towers Circle, Toronto, ON, M1V 4P1",-79.278,43.82404
46,HB,1,Guildwood,"Guildwood Plaza, 123 Guildwood Parkway, Toronto, ON, M1E 4V2",-79.1995,43.74704
47,HC,1,Humber Bay,"200 Park Lawn Road, Toronto, ON, M8Y 3J1",-79.4912,43.63032
48,HIL,1,Highland Creek,"3550 Ellesmere Road, Toronto, ON, M1C 3Z2",-79.1752,43.79003
50,HP,1,Hillcrest,"5801 Leslie Street, Toronto, ON, M2H 1J8",-79.369,43.79707
51,HS,1,High Park,"228 Roncesvalles Avenue, Toronto, ON, M6R 2L7",-79.4489,43.64513
52,HW,1,Humber Summit,"2990 Islington Avenue, Toronto, ON, M9L 2K6",-79.5716,43.75906
54,JD,1,Humberwood,"850 Humberwood Boulevard, Toronto, ON, M9W 7A6",-79.6195,43.72873
55,JO,1,Jones,"118 Jones Avenue, Toronto, ON, M4M 2Z9",-79.3345,43.66598
56,JS,1,Jane/Sheppard,"1906 Sheppard Avenue West, Toronto, ON, M3L 1Y7",-79.5101,43.73996
57,KE,1,Junction Triangle (formely Perth/Dupont),"305 Campbell Avenue, Toronto, ON M6P 3V7",-79.4496,43.66566
58,LB,1,Kennedy/Eglinton,"Liberty Square Plaza, 2380 Eglinton Avenue East, Toronto, ON, M1K 2P3",-79.2704,43.73221
60,LE,1,Long Branch,"3500 Lake Shore Boulevard West, Toronto, ON, M8W 1N6",-79.5314,43.59529
61,LO,1,Leaside,"165 McRae Drive, Toronto, ON, M4G 1S8",-79.3676,43.70641
62,LS,1,Locke,"3083 Yonge Street, Toronto, ON, M4N 2K7",-79.4018,43.72488
63,MA,1,Lillian H. Smith,"239 College Street, Toronto, ON, M5T 1R5",-79.3984,43.65798
64,MAL,1,Main Street,"137 Main Street, Toronto, ON, M4E 2V9",-79.2995,43.68341
65,MAS,1,Malvern,"30 Sewells Road, Toronto, ON, M1B 3G5",-79.2162,43.80824
66,MCG,1,Maria A. Shchuka,"1745 Eglinton Avenue W, Toronto, ON, M6E 2H4",-79.4473,43.69614
67,MD,1,McGregor Park,"2219 Lawrence Avenue East, Toronto, ON, M1P 2P5",-79.2809,43.74794
69,MI,1,Mount Dennis,"1123 Weston Road, Toronto, ON, M6N 3S3",-79.4883,43.68659
70,MP,1,Mimico Centennial,"47 Station Road, Toronto, ON, M8V 2R1",-79.4937,43.61486
71,MRV,1,Mount Pleasant,"599 Mt. Pleasant Road, Toronto, ON, M4S 2M5",-79.3882,43.70396
72,MS,1,Maryvale,"Parkway Mall, 85 Ellesmere Road, Unit 22, Toronto, ON, M1R 4B9",-79.3116,43.75719
73,ND,1,Morningside,"4279 Lawrence Avenue East, Toronto, ON, M1E 2S8",-79.1784,43.76988
74,NE,1,Northern District,"40 Orchard View Boulevard, Toronto, ON, M4R 1B9",-79.3998,43.70824
75,NT,1,Northern Elms,"123B Rexdale Boulevard, Unit 5, Toronto, ON, M9W 1P1",-79.5654,43.71089
77,OV,1,New Toronto,"110 Eleventh Street, Toronto, ON, M8V 3G5",-79.5099,43.59905
78,PA,1,Oakwood Village Library and Arts Centre,"341 Oakwood Avenue, Toronto, ON, M6E 2W1",-79.4383,43.68656
79,PE,1,Pape/Danforth,"701 Pape Avenue, Toronto, ON, M4K 3S6",-79.3446,43.67862
80,PK,1,Parkdale,"1303 Queen Street West, Toronto, ON, M6K 1L6",-79.4327,43.64127
81,PL,1,Parliament Street,"269 Gerrard Street East, Toronto, ON, M5A 2G3",-79.368,43.66183
82,PM,1,Palmerston,"560 Palmerston Avenue, Toronto, ON, M6G 2P7",-79.4141,43.66511
84,PU,1,Port Union,"5450 Lawrence Avenue East, Toronto, ON, M1C 3B2",-79.1402,43.7795
85,PV,1,Pleasant View,"575 Van Horne Avenue, Toronto, ON, M2J 4S8",-79.3355,43.78761
86,QS,1,Queen/Saulter,"765 Queen Street East, Toronto, ON, M4M 1H3",-79.3476,43.65928
87,RD,1,Riverdale,"370 Broadview Avenue, Toronto, ON, M4K 2M8",-79.3531,43.66571
88,RI,1,Richview,"1806 Islington Avenue, Toronto, ON, M9P 3N3",-79.5411,43.68344
89,RN,1,Runnymede,"2178 Bloor Street West, Toronto, ON, M6S 1M8",-79.4739,43.65188
90,RX,1,Rexdale,"2243 Kipling Avenue, Toronto, ON, M9W 4L5",-79.5732,43.72614
91,SA,1,Sanderson,"327 Bathurst Street, Toronto, ON, M5T 1J1",-79.4055,43.65214
93,SC,1,Sunnybrook Hospital,"2075 Bayview Avenue, Aging and Veterans Care, L Wing, Toronto, ON, M4N 3M5",-79.3748,43.72317
94,SI,1,Scarborough Civic Centre,"156 Borough Drive, Toronto, ON, M1P 4N7",-79.257,43.77237
95,SJ,1,St. Clair/Silverthorn,"1748 St. Clair Avenue West, Toronto, ON, M6N 1J3",-79.4606,43.67429
96,SL,1,St. James Town,"495 Sherbourne Street, Toronto, ON, M4X 1K7",-79.3744,43.66749
97,SP,1,St. Lawrence,"171 Front Street East, Toronto, ON, M5A 4H3",-79.3683,43.65012
98,ST,1,Spadina Road,"10 Spadina Road, Toronto, ON, M5R 2S7",-79.4046,43.66767
99,SW,1,Steeles,"Bamburgh Gardens Shopping Plaza, C107-375 Bamburgh Circle, Toronto, ON, M1W 3Y1",-79.3224,43.81555
100,SWS,1,Swansea Memorial,"95 Lavinia Avenue, Toronto, ON, M6S 3H9",-79.4779,43.64758
101,TA,1,S. Walter Stewart,"170 Memorial Park Avenue, Toronto, ON, M4J 2K5",-79.3297,43.69217
102,TH,1,Taylor Memorial,"1440 Kingston Road, Toronto, ON, M1N 1R3",-79.2713,43.68789
103,TOD,1,Thorncliffe,"48 Thorncliffe Park Drive, Toronto, ON, M4H 1J7",-79.3425,43.70297
104,TRL,1,Todmorden Room,"1081 1/2 Pape Ave (at Torrens), Toronto, ON, M4K 3W6",-79.3494,43.69163
106,VV,1,Toronto Reference Library,"789 Yonge Street, Toronto, ON, M4W 2G8",-79.3867,43.67195
107,WE,1,Victoria Village,"184 Sloane Avenue, Toronto, ON, M4A 2C4",-79.3129,43.73605
108,WP,1,Weston,"2 King Street, Toronto, ON, M9N 1K9",-79.5207,43.70171
109,WS,1,Woodview Park,"16 Bradstock Road, Toronto, ON, M9M 1M8",-79.5384,43.73977
110,WY,1,Woodside Square,"Woodside Square Mall, 1571 Sandhurst Circle, Toronto, ON, M1V 1V2",-79.2703,43.8088
111,YO,1,Wychwood,"1431 Bathurst Street, Toronto, ON, M5R 3J2",-79.4176,43.68222
112,YW,1,Yorkville,"22 Yorkville Avenue, Toronto, ON, M4W 1L4",-79.3886,43.67192
,,,York Woods,"1785 Finch Avenue West, Toronto, ON, M3N 1M6",-79.5073,43.75892
